stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,zone_id,level_id,stop_timezone,platform_code,wheelchair_boarding,stop_code,stop_url,stop_desc
1032276238,"Magazin ""Fidesco""",47.006450,28.824997,,,,,,,,,,
1035241557,str. Socoleni,47.061302,28.846010,,,,,,,,,,
1048600352,Soseaua Muncesti,46.941868,28.942598,,,,,,,,,,
1048600924,Soseaua Muncesti,46.941353,28.943052,,,,,,,,,,
1068789753,str. Aeroport,46.937965,28.932575,,,,,,,,,,
1163335402,Hidrotehnica,47.007523,28.860092,,,,,,,,,,
1196766269,str. Ion Creangă,47.092050,28.869965,,,,,,,,,,
1196766287,str. Dumitru Matcovschi,47.094128,28.869366,,,,,,,,,,
1196766289,str. Constructorilor,47.088610,28.871012,,,,,,,,,,
1196766302,str. Păcii,47.091255,28.863708,,,,,,,,,,
1207327539,bd. Negruzzi,47.013560,28.850508,,,,,,,,,,
1209486292,str. Iazului,47.057510,28.847797,,,,,,,,,,
1211607992,str. Ceucari,47.055140,28.849627,,,,,,,,,,
1211611471,str. Iazului,47.058075,28.847752,,,,,,,,,,
1211614943,str. Vasile Badiu,47.051033,28.850067,,,,,,,,,,
1211616127,str. Vasile Badiu,47.051624,28.850733,,,,,,,,,,
1216583421,Otovasca,47.008060,28.892488,,,,,,,,,,
1216583430,Str. Teilor,46.988182,28.853945,,,,,,,,,,
1216583441,Hristo Botev,46.993150,28.847248,,,,,,,,,,
1216583454,Pretura sectorului Ciocana,47.040630,28.890406,,,,,,,,,,
1216583462,Spitalul Clinic Municipal nr.1,47.004997,28.842094,,,,,,,,,,
1216583516,Bulevardul Ștefan cel Mare și Sfânt,47.015260,28.844889,,,,,,,,,,
1216583531,"Asociatia ""Vitanta""",46.997280,28.898900,,,,,,,,,,
1216583538,Zelinski,46.992485,28.849054,,,,,,,,,,
1218066888,"Colegiul de Muzică ""Ștefan Neaga""",46.989456,28.845400,,,,,,,,,,
1218066892,bd. Dacia,46.992764,28.846085,,,,,,,,,,
1218066914,str. Hristo Botev,46.987030,28.844881,,,,,,,,,,
1251179066,strada Alexandru cel Bun,46.968918,28.766142,,,,,,,,,,
1258789424,str. Butucului,46.990776,28.867690,,,,,,,,,,
1274046327,CTAS Ialoveni,46.958855,28.768446,,,,,,,,,,
1288238644,Palatul de Cultură al Feroviarilor,47.008263,28.859884,,,,,,,,,,
1363586642,str. Grenoble,46.978695,28.845610,,,,,,,,,,
1482712250,Parcul de Troleibuze nr. 2,46.988610,28.885948,,,,,,,,,,
1482712252,str. Ghidighici,47.045284,28.785034,,,,,,,,,,
1484644401,Colegiul de Transport,46.987022,28.873037,,,,,,,,,,
1484644406,str. Valea Radiului.,46.987366,28.780563,,,,,,,,,,
1554651685,str. Nicolae Dimo,47.043630,28.866154,,,,,,,,,,
1554651691,Bogdan Voievod,47.044178,28.859777,,,,,,,,,,
1557395456,str. Florilor,47.043625,28.852524,,,,,,,,,,
1557395459,str. Calea Orheiului,47.046180,28.848846,,,,,,,,,,
1557395464,bd. Renașterii Naționale,47.046630,28.848580,,,,,,,,,,
1557396061,"Liceul ""George Călinescu""",47.065220,28.844429,,,,,,,,,,
1557396084,"Liceul ""George Călinescu""",47.065380,28.843975,,,,,,,,,,
1558994726,Universitatea Agrară,47.060734,28.809828,,,,,,,,,,
1558999573,Bd. Renașterii Naționale,47.044600,28.848000,,,,,,,,,,
1558999576,str. Calea Orheiului,47.044790,28.847744,,,,,,,,,,
1559024579,str. C. Stere,47.025024,28.816511,,,,,,,,,,
1655985132,str. Nicolae Iorga,47.023746,28.825066,,,,,,,,,,
1723817019,str. Alecu Russo,47.037220,28.887358,,,,,,,,,,
1784926825,str. Socoleni,47.062290,28.855242,,,,,,,,,,
1836461036,Baza de Transport Auto nr. 31,47.047707,28.826520,,,,,,,,,,
1836506522,str. Tudor Vladimirescu,47.038578,28.858007,,,,,,,,,,
1837662770,sos. Muncești 426,46.978840,28.903774,,,,,,,,,,
1844942249,str. Bogdan Voievod,47.043220,28.856056,,,,,,,,,,
2144170985,Florării,47.031563,28.863148,,,,,,,,,,
2398208056,Uzina chimică,47.026650,28.773630,,,,,,,,,,
2398208058,Primăria Durleşti,47.018738,28.765380,,,,,,,,,,
2398208061,Testemiţanu,47.018800,28.755848,,,,,,,,,,
2398208080,str. Caucaz,47.006153,28.766483,,,,,,,,,,
2398208084,Str. Nicolae Dimo 2,47.013080,28.755657,,,,,,,,,,
2398208112,Str. Nicolae Dimo 27,47.009320,28.762396,,,,,,,,,,
2616042623,str. P. Ceaikovski,47.025696,28.802752,,,,,,,,,,
2616121534,Grădina botanică,46.974860,28.875034,,,,,,,,,,
2635477677,DECORELLI,47.042694,28.835667,,,,,,,,,,
265721,bd. Decebal,46.987200,28.856430,,,,,,,,,,
265749,Albișoara,47.034110,28.845060,,,,,,,,,,
265750,Albișoara 8,47.016697,28.856102,,,,,,,,,,
265751,bd. Renasterii Nationale,47.033157,28.846441,,,,,,,,,,
265759,Alimentară,47.062008,28.835876,,,,,,,,,,
265768,Efes - Vitanta,46.996754,28.899775,,,,,,,,,,
265769,Efes - Vitanta,46.997097,28.899492,,,,,,,,,,
265778,"Asociaţia ""Moldovahidromaş""",47.015730,28.887793,,,,,,,,,,
265811,Bd. Dacia (Cuza-Voda ),46.983498,28.861511,,,,,,,,,,
265812,bd. Dacia (bd. Cuza Voda),46.982418,28.862350,,,,,,,,,,
265814,bd. Cuza Vodă,46.982307,28.860815,,,,,,,,,,
265815,bd. Cuza Vodă 15,46.981537,28.860008,,,,,,,,,,
