,Luni - Vineri,Sambata,Duminica
0,5:47,6:05,6:05
1,5:59,6:23,6:23
2,6:11,6:36,6:36
3,6:23,6:46,6:46
4,6:35,6:55,6:55
5,6:40,7:05,7:05
6,6:45,7:14,7:14
7,6:50,7:22,7:22
8,6:55,7:30,7:30
9,6:59,7:38,7:38
10,7:03,7:45,7:45
11,7:07,7:51,7:51
12,7:11,7:57,7:57
13,7:15,8:04,8:04
14,7:19,8:10,8:10
15,7:23,8:16,8:16
16,7:27,8:23,8:23
17,7:31,8:29,8:29
18,7:35,8:35,8:35
19,7:39,8:41,8:41
20,7:43,8:48,8:48
21,7:47,8:54,8:54
22,7:51,9:00,9:00
23,7:55,9:07,9:07
24,7:59,9:13,9:13
25,8:03,9:19,9:19
26,8:07,9:27,9:27
27,8:11,9:38,9:38
28,8:15,9:48,9:48
29,8:19,9:59,9:59
30,8:23,10:11,10:11
31,8:27,10:18,10:18
32,8:31,10:26,10:26
33,8:35,10:36,10:36
34,8:39,10:49,10:49
35,8:43,11:02,11:02
36,8:47,11:15,11:15
37,8:51,11:22,11:22
38,8:55,11:28,11:28
39,8:59,11:34,11:34
40,9:03,11:41,11:41
41,9:09,11:48,11:48
42,9:15,11:55,11:55
43,9:21,12:01,12:01
44,9:27,12:08,12:08
45,9:33,12:14,12:14
46,9:39,12:20,12:20
47,9:45,12:27,12:27
48,9:51,12:34,12:34
49,9:57,12:41,12:41
50,10:03,12:47,12:47
51,10:10,12:54,12:54
52,10:17,13:00,13:00
53,10:24,13:06,13:06
54,10:31,13:13,13:13
55,10:38,13:20,13:20
56,10:45,13:27,13:27
57,10:52,13:33,13:33
58,10:59,13:40,13:40
59,11:06,13:46,13:46
60,11:12,13:52,13:52
61,11:19,13:59,13:59
62,11:26,14:06,14:06
63,11:33,14:13,14:13
64,11:40,14:19,14:19
65,11:47,14:26,14:26
66,11:54,14:32,14:32
67,12:00,14:38,14:38
68,12:07,14:45,14:45
69,12:14,14:52,14:52
70,12:21,14:59,14:59
71,12:28,15:12,15:12
72,12:35,15:24,15:24
73,12:42,15:38,15:38
74,12:48,15:51,15:51
75,12:55,15:58,15:58
76,13:02,16:04,16:04
77,13:09,16:10,16:10
78,13:16,16:17,16:17
79,13:23,16:24,16:24
80,13:30,16:31,16:31
81,13:36,16:37,16:37
82,13:43,16:44,16:44
83,13:50,16:50,16:50
84,13:57,16:56,16:56
85,14:05,17:03,17:03
86,14:12,17:10,17:10
87,14:20,17:17,17:17
88,14:28,17:23,17:23
89,14:36,17:30,17:30
90,14:50,17:36,17:36
91,15:04,17:42,17:42
92,15:20,17:49,17:49
93,15:28,18:01,18:01
94,15:36,18:11,18:11
95,15:40,18:22,18:22
96,15:44,18:33,18:33
97,15:48,18:40,18:40
98,15:52,18:47,18:47
99,15:56,18:55,18:55
100,16:00,19:10,19:10
101,16:04,19:26,19:26
102,16:08,19:41,19:41
103,16:13,19:56,19:56
104,16:18,20:12,20:12
105,16:23,20:27,20:27
106,16:28,20:41,20:41
107,16:32,20:55,20:55
108,16:36,21:10,21:10
109,16:40,21:24,21:24
110,16:44,21:38,21:38
111,16:48,21:53,21:53
112,16:52,22:07,22:07
113,16:56,22:21,22:21
114,17:00,22:36,22:36
115,17:05,,
116,17:10,,
117,17:15,,
118,17:20,,
119,17:24,,
120,17:28,,
121,17:32,,
122,17:36,,
123,17:40,,
124,17:44,,
125,17:48,,
126,17:52,,
127,17:57,,
128,18:02,,
129,18:07,,
130,18:12,,
131,18:16,,
132,18:20,,
133,18:24,,
134,18:28,,
135,18:32,,
136,18:36,,
137,18:40,,
138,18:44,,
139,18:49,,
140,18:54,,
141,18:59,,
142,19:04,,
143,19:10,,
144,19:16,,
145,19:22,,
146,19:28,,
147,19:38,,
148,19:49,,
149,20:02,,
150,20:13,,
151,20:24,,
152,20:34,,
153,20:45,,
154,20:56,,
155,21:07,,
156,21:17,,
157,21:28,,
158,21:39,,
159,21:50,,
160,22:00,,
161,22:11,,
162,22:22,,
163,22:33,,
164,22:43,,
