,Luni - Vineri,Sambata,Duminica
0,6:18,6:10,6:10
1,6:44,6:40,6:40
2,7:11,7:10,7:10
3,7:38,7:41,7:41
4,8:04,8:12,8:12
5,8:30,8:44,8:44
6,8:57,9:14,9:14
7,9:31,9:46,9:46
8,10:15,10:18,10:18
9,10:59,11:23,11:23
10,11:32,11:55,11:55
11,12:05,12:27,12:27
12,12:38,12:59,12:59
13,13:11,13:31,13:31
14,13:44,14:02,14:02
15,14:11,14:33,14:33
16,14:38,15:04,15:04
17,15:05,15:36,15:36
18,15:33,16:07,16:07
19,16:01,16:38,16:38
20,16:28,17:09,17:09
21,16:55,17:41,17:41
22,17:22,18:18,18:18
23,17:50,18:56,18:56
24,18:18,19:56,19:56
25,19:00,20:37,20:37
26,20:08,,
27,20:46,,
